type,group,grpCode,domain,dimension,indicator,indCode,valueStart,ratioStart,valueEnd,ratioEnd,diff,betterWorse,slope,stdErrorSlope,pValSlope,adjr2,t,slopeD
global doughnut,World,WLD,social,water,sanitation,WA2,66.117,0.661,41.558,0.416,-0.246,improving,-0.012,2.00E-04,0,0.9946,8,-0.052
global doughnut,World,WLD,social,energy,energyAccess,EN1,21.465,0.215,8.476,0.085,-0.13,improving,-0.006,1.10E-04,0,0.9939,8,-0.011
global doughnut,World,WLD,social,energy,energyIndoor,EN2,50.224,0.502,26.558,0.266,-0.237,improving,-0.012,3.60E-04,0,0.9797,8,-0.033
global doughnut,World,WLD,social,connectivity,publicTrans,CO1,NA,0.527,52.709,0.527,0,improving,NA,NA,NA,0,8,-0.066
global doughnut,World,WLD,social,connectivity,internet,CO2,92.762,0.928,37,0.37,-0.558,improving,-0.026,6.80E-04,0,0.9854,8,-0.046
global doughnut,World,WLD,social,housing,urbanSlums,HO1,39.655,0.397,32.155,0.322,-0.075,improving,-0.004,1.10E-04,0,0.9827,8,-0.04
global doughnut,World,WLD,social,equality,genderGapIndex,EQ1,45.535,0.455,34.901,0.349,-0.106,improving,-0.005,8.00E-05,0,0.995,8,-0.044
global doughnut,World,WLD,social,equality,racialInequality,EQ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
global doughnut,World,WLD,social,social cohesion,socialSupport,SC1,20.677,0.207,23.666,0.237,0.03,worsening,0.001,5.40E-04,0.18042,0.0535,8,-0.03
global doughnut,World,WLD,social,social cohesion,palma,SC2,71.6,0.716,64.641,0.646,-0.07,improving,-0.002,5.00E-04,2.60E-04,0.4529,8,-0.081
global doughnut,World,WLD,social,political voice,govRegimes,PV1,46.333,0.463,70.757,0.708,0.244,worsening,0.01,0.00183,1.00E-05,0.5828,8,-0.088
global doughnut,World,WLD,social,peace and justice,controlCorruption,PJ1,79.995,0.8,74.699,0.747,-0.053,improving,-0.005,5.40E-04,0,0.8069,8,-0.093
global doughnut,World,WLD,social,peace and justice,homicideOver5,PJ2,28.501,0.285,20.168,0.202,-0.083,improving,-0.005,7.60E-04,0,0.6845,8,-0.025
