domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,boundary
ecological,climate change,global doughnut,World,erf_wm2,2017,NA,NA,2.584380082,1
ecological,climate change,global doughnut,World,erf_wm2,2018,NA,NA,2.650136802,1
ecological,climate change,global doughnut,World,erf_wm2,2019,NA,NA,2.647117717,1
ecological,climate change,global doughnut,World,erf_wm2,2020,NA,NA,2.794099165,1
ecological,climate change,global doughnut,World,erf_wm2,2021,NA,NA,2.749664805,1
ecological,climate change,global doughnut,World,erf_wm2,2022,NA,NA,2.914967669,1
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2000,2376251180,2579.4843396945944,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2001,2426787989,2652.5588679937755,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2002,2478235048,2722.550528921249,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2003,2529741078,2836.395690472428,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2004,2580984201,2981.3451289937984,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2005,2632156395,3126.9936710480224,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2006,2683431644,3297.5807525828873,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2007,2734871536,3466.408421660846,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2008,2795001471,3534.3570992052796,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2009,2847446203,3675.288745010788,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2010,2901274477,3844.870051171807,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2011,2955832944,4009.6372800035233,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2012,3010003314,4102.676086858366,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2013,3063131123,4245.545393317514,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2014,3115821462,4445.625619050939,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2015,3168801188,4639.8204727996545,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2016,3223415240,4820.5434787645945,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2017,3279187003,5022.645571175445,0.9389036299243086,0.95
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2018,3335141885,5220.246520639839,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2019,3391515669,5351.198468263703,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2020,3448355313,5065.89772405755,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2021,3503396785,5277.14433390681,NA,NA
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2022,3557061423,5519.322704930674,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2000,2763213047,7654.13769028717,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2001,2787097352,7864.397438154485,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2002,2809777661,8129.234599744939,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2003,2831990088,8482.923214338003,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2004,2854580918,9026.771620453132,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2005,2877350070,9530.885164442148,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2006,2900011889,10226.591130506778,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2007,2922803830,11027.49896082735,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2008,2946612580,11563.736297340984,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2009,2971502710,11577.176573561052,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2010,2996720802,12250.283021241938,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2011,3022345410,12853.909105558352,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2012,3049383432,13375.86948255519,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2013,3077662819,13828.707635689078,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2014,3106304024,14298.405942931491,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2015,3133943059,14664.32213227094,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2016,3159258795,15076.874706966642,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2017,3183138611,15659.215592343417,4.25670414835964,0.95
ecological,climate change,national aggregate,Middle-40,co2_footprint,2018,3204775631,16182.731813295552,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2019,3223588538,16658.463829057677,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2020,3239195616,16354.337717044236,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2021,3250518847,17372.882830322826,NA,NA
ecological,climate change,national aggregate,Middle-40,co2_footprint,2022,3259729582,17870.61550369402,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2000,882928357,42845.74812313115,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2001,888563821,43228.12926867091,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2002,894345080,43512.80232598735,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2003,900364136,44148.9439955994,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2004,906618214,45316.16435010109,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2005,913027082,46264.555313249664,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2006,919807202,47259.08733723497,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2007,927447810,48043.76664473402,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2008,935297662,47686.64337970848,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2009,942445871,45832.92643024211,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2010,948583379,47017.053850969765,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2011,954304639,47731.31144383859,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2012,960023602,48015.08277201596,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2013,965433228,48423.27741254011,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2014,970642389,49093.73608424506,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2015,975722368,49902.32373559204,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2016,980787539,50528.75335375405,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2017,985730708,51581.71583482991,11.650508840910334,0.95
ecological,climate change,national aggregate,Top-20,co2_footprint,2018,990313036,52505.0164168369,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2019,994672581,53206.96401762948,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2020,997710552,50504.19156789593,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2021,999483970,53240.46630285082,NA,NA
ecological,climate change,national aggregate,Top-20,co2_footprint,2022,1001405134,54430.57408254537,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2000,6022392584,10811.19188461706,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2001,6102449162,10941.01552034705,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2002,6182357789,11080.54967625144,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2003,6262095302,11329.91810986508,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2004,6342183333,11754.14061196926,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2005,6422533547,12128.425776384209,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2006,6503250735,12605.283209224684,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2007,6585123176,13100.663689299492,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2008,6676911713,13262.657049384105,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2009,6761394784,13024.213735132083,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2010,6846578658,13505.328973548678,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2011,6932482993,13884.056143385247,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2012,7019410348,14136.919085775233,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2013,7106227170,14397.823223021156,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2014,7192767875,14725.823876377588,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2015,7278466615,15023.8557729071,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2016,7363461574,15309.149487821616,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2017,7448056322,15730.45692085964,3.774512842476268,0.95
ecological,climate change,national aggregate,World,co2_footprint,2018,7530230552,16104.24657715806,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2019,7609776788,16396.30415131602,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2020,7685261481,15722.6243392955,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2021,7753399602,16531.046091322263,NA,NA
ecological,climate change,national aggregate,World,co2_footprint,2022,7818196139,16933.95738092833,NA,NA
ecological,ocean acidification,global doughnut,World,omega_a,2000,NA,NA,2.986,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2001,NA,NA,2.985,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2002,NA,NA,2.97,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2003,NA,NA,2.976,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2004,NA,NA,2.962,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2005,NA,NA,2.951,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2006,NA,NA,2.936,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2007,NA,NA,2.917,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2008,NA,NA,2.913,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2009,NA,NA,2.917,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2010,NA,NA,2.907,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2011,NA,NA,2.881,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2012,NA,NA,2.88,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2013,NA,NA,2.882,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2014,NA,NA,2.882,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2015,NA,NA,2.879,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2016,NA,NA,2.859,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2017,NA,NA,2.841,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2018,NA,NA,2.826,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2019,NA,NA,2.829,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2020,NA,NA,2.821,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2021,NA,NA,2.803,2.75
ecological,ocean acidification,global doughnut,World,omega_a,2022,NA,NA,2.786,2.75
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2000,2390496925,2590.9974391428664,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2001,2441157194,2663.2031090486253,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2002,2492714585,2731.9750022323224,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2003,2544324485,2846.256099720923,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2004,2595669620,2992.2508778064066,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2005,2646943702,3139.9579892205297,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2006,2698319942,3312.081416215672,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2007,2749859301,3481.6419270781485,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2008,2810086898,3550.327833144699,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2009,2862628786,3690.6612219346785,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2010,2916557172,3860.087593058656,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2011,2971219398,4025.339575358574,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2012,3025496765,4118.907239318242,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2013,3078734496,4261.941562979554,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2014,3131533963,4461.00717186334,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2015,3184625696,4655.56473539207,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2016,3239351100,4835.955023097456,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2017,3295224355,5037.397493099811,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2018,3351275676,5234.702054758413,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2019,3407742141,5364.77105881448,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2020,3464675412,5076.04284296782,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2021,3519786549,5287.298647675415,NA,NA
ecological,ocean acidification,national aggregate,Bottom-40,omega_a_footprint,2022,3573523686,5529.041654165806,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2000,2771079507,7692.85018485735,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2001,2795128241,7902.984182376066,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2002,2817982774,8168.321690814426,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2003,2840378133,8528.850379276693,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2004,2863160639,9073.696198278563,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2005,2886128730,9583.909852877112,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2006,2908976565,10285.251123919892,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2007,2931945847,11087.96033204242,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2008,2955942444,11621.247297116652,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2009,2981024091,11630.725189742872,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2010,3006436061,12302.342501699068,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2011,3031818549,12869.064810164246,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2012,3058599742,13418.780155524284,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2013,3087056858,13858.936902267154,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2014,3115874201,14317.047425141602,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2015,3143671521,14682.35031361053,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2016,3169140069,15090.746063579065,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2017,3193178974,15681.633581815418,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2018,3214995105,16205.265939374283,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2019,3233967613,16672.718839130957,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2020,3249703015,16353.946617090254,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2021,3261155656,17377.02988724466,NA,NA
ecological,ocean acidification,national aggregate,Middle-40,omega_a_footprint,2022,3270491108,17872.515797620435,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2000,925537229,42841.57056886864,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2001,932036528,43168.38978676752,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2002,938669229,43387.74839026642,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2003,945536724,44109.777454907606,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2004,952625436,45340.414645573714,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2005,960198702,46315.86108642239,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2006,968597868,47338.75129945506,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2007,977999082,48116.33221024317,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2008,987630430,47807.91933225158,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2009,996519621,45919.21545509608,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2010,1004298471,47126.41840786978,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2011,1011579211,47946.01860155472,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2012,1018860680,48274.52404996078,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2013,1025840434,48694.91910204364,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2014,1032449176,49381.90255022027,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2015,1038946701,50181.83804288999,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2016,1045436685,50795.6954314738,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2017,1051706513,51746.36506086974,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2018,1057621731,52596.85291749837,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2019,1063158403,53214.91427993404,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2020,1066319975,50530.945000510386,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2021,1067926913,53260.809722408114,NA,NA
ecological,ocean acidification,national aggregate,Top-20,omega_a_footprint,2022,1070488119,54508.03426175838,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2000,6087113661,11033.593778486846,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2001,6168321963,11157.924027657036,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2002,6249366588,11289.939082169089,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2003,6330239342,11559.495576669651,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2004,6411455695,12000.204077563389,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2005,6493271134,12388.84340932646,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2006,6575894375,12881.718983200612,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2007,6659804230,13384.936003439365,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2008,6753659772,13554.87644970591,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2009,6840172498,13303.153428987966,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2010,6927291704,13796.6417931423,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2011,7014617158,14181.534053313428,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2012,7102957187,14457.278813069255,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2013,7191631788,14719.598108524537,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2014,7279857340,15050.324979535386,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2015,7367243918,15354.313495222154,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2016,7453927854,15641.917922024915,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2017,7540109842,16060.191327793138,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2018,7623892512,16431.285562868605,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2019,7704868157,16713.676317093705,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2020,7780698402,16015.845882759748,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2021,7848869118,16837.8414884704,NA,NA
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2022,7914502913,17254.434027524196,NA,NA
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2000,NA,NA,908.3574,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2001,NA,NA,957.4651058823529,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2002,NA,NA,1006.5728117647059,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2003,NA,NA,1055.6805176470589,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2004,NA,NA,1104.7882235294117,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2005,NA,NA,1153.8959294117647,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2006,NA,NA,1203.0036352941177,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2007,NA,NA,1252.1113411764707,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2008,NA,NA,1301.2190470588237,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2009,NA,NA,1350.3267529411764,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2010,NA,NA,1399.4344588235294,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2011,NA,NA,1448.5421647058824,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2012,NA,NA,1497.6498705882354,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2013,NA,NA,1546.7575764705884,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2014,NA,NA,1595.8652823529412,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2015,NA,NA,1644.9729882352942,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2016,NA,NA,1694.0806941176472,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2017,NA,NA,1743.1884,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2018,NA,NA,1792.2961058823655,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2019,NA,NA,1841.4038117647196,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2020,NA,NA,1890.511517647074,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2021,NA,NA,1939.6192235294282,60
ecological,chemical pollution,global doughnut,World,chemicalsMt_Hzd,2022,NA,NA,1988.7269294117825,60
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2000,2390496925,2590.9974391428664,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2001,2441157194,2663.2031090486253,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2002,2492714585,2731.9750022323224,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2003,2544324485,2846.256099720923,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2004,2595669620,2992.2508778064066,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2005,2646943702,3139.9579892205297,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2006,2698319942,3312.081416215672,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2007,2749859301,3481.6419270781485,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2008,2810086898,3550.327833144699,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2009,2862628786,3690.6612219346785,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2010,2916557172,3860.087593058656,NA,NA
ecological,chemical pollution,national aggregate,Bottom-40,hzdChemicals_footprint,2011,2971219398,4025.339575358574,NA,NA
